"sentence","word_labels"
"10 minutes before the end of cooking, get a few ladles of broth (one at a time) and wet the couscous semolina.","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,U-FOOD,O"
"1 hour before it is ready (or when you can't see water above the rice), add the garlic.","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,U-FOOD,O,O,O,O,U-FOOD,O"
"24h after soaking, boil the beans during 5 minutes and rince to clean up impurities.","O,O,O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O,O"
"3/4 of an inch thick","O,O,O,O,O"
"3 min on each side)","O,O,O,O,O,O"
"3 minutes.","O,O,O"
"5""x9""), and add above mix.","O,O,O,O,O,O,O,O,O"
"6/180°, take the baking sheet out of the oven and line it with aluminum foil.","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"About 20 minutes before it is to be done take the chopped greens and put them in the soup.","O,O,O,O,O,O,O,O,O,O,O,O,U-FOOD,O,O,O,O,O,O,O"
"About 3-5 minutes before removing the potatoes from the heat, add some","O,O,O,O,O,O,O,O,U-FOOD,O,O,O,O,O,O"
"About every 30 minutes, perform a stretch and fold.","O,O,O,O,O,O,O,O,O,O,O"
"About ten minutes before removing the potatoes from the boiling water, cut","O,O,O,O,O,O,U-FOOD,O,O,O,U-FOOD,O,O"
"Act fast! As the eggs start cooking, prepare a plate with two handfuls of chopped green onion and Tabasco.","O,O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O,B-FOOD,L-FOOD,O,U-FOOD,O"
"Add 0.5 L (0.13 gal) of boiling water.","O,O,O,O,O,O,O,O,O,U-FOOD,O"
"Add 1½-2 tsp of salt and a little bit of ground black pepper.","O,O,O,O,U-FOOD,O,O,O,O,O,O,B-FOOD,L-FOOD,O"
"Add 1 1/2 cup water and 1/4 tsp salt to a medium pot.","O,O,O,O,U-FOOD,O,O,O,U-FOOD,O,O,O,O,O"
"Add 1 1/4 cups water and bring to a boil over high heat.","O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O"
"Add 1 1/4 cup water and 1/4 tsp salt to a medium pot.","O,O,O,O,U-FOOD,O,O,O,U-FOOD,O,O,O,O,O"
"Add ½ cup (120ml) of oil into a large pan.","O,O,O,O,O,O,O,U-FOOD,O,O,O,O,O"
"add 1/2 cup to 1 cup (250-500 mL) water or broth","O,O,O,O,O,O,O,O,O,O,O,O,U-FOOD,O,O"
"Add 1/2 of the Holy Trinity, cook until the vegetables are tender.","O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Add 1-2 tbsp of oil to the skillet (enough to evenly coat the skillet), and bring to heat","O,O,O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Add 1/2 Tbsp oil, ginger and rice.","O,O,O,U-FOOD,O,U-FOOD,O,U-FOOD,O"
"Add 1/2 Tbsp oil, peppers, and celery.","O,O,O,U-FOOD,O,U-FOOD,O,O,U-FOOD,O"
"Add 1/2 tsp oil, then the chicken.","O,O,O,U-FOOD,O,O,O,U-FOOD,O"
"Add 1/4 cup of hoisin sauce and stir to combine.","O,O,O,O,B-FOOD,L-FOOD,O,O,O,O,O"
"Add 150 ml of water to a small pan and bring it to boil.","O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O,O"
"Add 1 cup broth from the medium pot to the pan with rice.","O,O,O,O,O,O,O,O,O,O,O,O,U-FOOD,O"
"Add 1 tbsp of sesame oil for every cup of mayonnaise you use.","O,O,O,O,B-FOOD,L-FOOD,O,O,O,O,U-FOOD,O,O,O"
"Add 1 Tbsp oil, then onion and peppers.","O,O,O,U-FOOD,O,O,U-FOOD,O,U-FOOD,O"
"Add 1 teaspoon of flour into a saucepan.","O,O,O,O,U-FOOD,O,O,O,O"
"Add 1 teaspoon of salt to taste.","O,O,O,O,U-FOOD,O,O,O"
"Add 2/3 cardamom pods, 1 small cinnamon stick, and 1 bayleaf into the hot oil.","O,O,U-FOOD,O,O,O,O,U-FOOD,O,O,O,O,U-FOOD,O,O,O,U-FOOD,O"
"add 2 glasses of dry white wine","O,O,O,O,O,B-FOOD,L-FOOD"
"Add 2 parts mayonnaise to 1 part chili sauce in a bowl.","O,O,O,U-FOOD,O,O,O,B-FOOD,L-FOOD,O,O,O,O"
"Add 3/4 of the cheese","O,O,O,O,U-FOOD"
"Add 3/4 of tomato sauce","O,O,O,B-FOOD,L-FOOD"
"Add 3 tablespoons of balsamic vinegar to the oven dish.","O,O,O,O,B-FOOD,L-FOOD,O,O,O,O,O"
"Add 3 tablespoons of oil to the oven dish and toss to cover everything in oil","O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,U-FOOD"
"add 400g minus however much water was used to activate the yeast)","O,O,O,O,O,O,U-FOOD,O,O,O,O,O,U-FOOD,O"
"Add 4 cups of water and stir.","O,O,O,O,U-FOOD,O,O,O"
"Add 4l of water to the tea concentrate and pour into a wide mouthed jar.","O,O,O,U-FOOD,O,O,U-FOOD,O,O,O,O,O,O,O,O,O"
"Add 4 Tbsp Ketchup and stir fry for 30 seconds then transfer to the soup pot to continue cooking with the potatoes.","O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,U-FOOD,O"
"Add 500 ml of water diluted with tomato paste, boil for 5 minutes.","O,O,O,O,U-FOOD,O,O,U-FOOD,O,O,O,O,O,O,O"
"Add 80% of the cheese and stir until melted in.","O,O,O,O,O,U-FOOD,O,O,O,O,O,O"
"Add 8 cups broth and 2 cups water.","O,O,O,O,O,O,O,U-FOOD,O"
"Add a 1/2 cup of water to the large pot and cook and stir until the water has evaporated","O,O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,U-FOOD,O,O"
"Add a bit less sugar if you also used dried fruits.","O,O,O,O,U-FOOD,O,O,O,O,B-FOOD,L-FOOD,O"
"Add about 2 cups of water or to about 800 gm of water in the pot while accounting for water left in the pot (1:2 ratio of rice to water).","O,O,O,O,O,U-FOOD,O,O,O,O,O,O,U-FOOD,O,O,O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,U-FOOD,O,U-FOOD,O,O"
"add about 400g of toasted bread in pieces","O,O,O,O,O,B-FOOD,L-FOOD,O,O"
"Add about a glass of your whole milk and stir until combined, repeat this process until you have a thick sauce in your pan and new milk you add easily combines.","O,O,O,O,O,O,B-FOOD,L-FOOD,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,U-FOOD,O,O,O,O,O"
"Add about a spoonful of butter evenly on the top.","O,O,O,O,O,U-FOOD,O,O,O,O,O"
"Add Adobo Goya and spread evenly throughout the pork","O,B-FOOD,L-FOOD,O,O,O,O,O,U-FOOD"
"Add a generous amount of salt and pepper to taste along with a tiny pinch of garlic powder and stir (be very conservative with the garlic powder)","O,O,O,O,O,U-FOOD,O,U-FOOD,O,O,O,O,O,O,O,O,B-FOOD,L-FOOD,O,O,O,O,O,O,O,O,B-FOOD,L-FOOD,O"
"Add a generous amount of your preferred grated cheese (Pecorino or Parmigiano) around 35g (you can optionally add a dash of black pepper).","O,O,O,O,O,O,O,B-FOOD,L-FOOD,O,U-FOOD,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O,O,B-FOOD,L-FOOD,O,O"
"Add a generous pinch of salt and small pinch of pepper","O,O,O,O,O,U-FOOD,O,O,O,O,U-FOOD"
"Add a good amount of virgin olive oil and place one of the small onion pieces into the pan.","O,O,O,O,O,O,B-FOOD,L-FOOD,O,O,O,O,O,B-FOOD,L-FOOD,O,O,O,O,O"
"Add a half cup heavy cream and a third cup of white wine to the pan.","O,O,O,O,B-FOOD,L-FOOD,O,O,O,O,O,B-FOOD,L-FOOD,O,O,O,O"
"Add a layer of cheese sauce","O,O,O,O,B-FOOD,L-FOOD"
"Add a little cooking oil to the pan and heat it up to medium-high heat.","O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Add a little pepper, and stir until it always thickens over a low heat.","O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O,O"
"Add all diced vegetables and let it sauté for 2 minutes, add a dash of cognac and flambé, lower the heat to medium low.","O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O,O,U-FOOD,O,U-FOOD,O,O,O,O,O,O,O,O"
"Add all ingredients into a pan.","O,O,O,O,O,O,O"
"Add all ingredients to a food processor and burst shortly for desired degree of chunkyness.","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Add all of your wanted spinach, and don't be shy about doing so.","O,O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O,O"
"Add all the sauces and oils from the ""Noodles"" ingredients list.","O,O,O,O,O,U-FOOD,O,O,O,U-FOOD,O,O,O,O"
"Add all the tomatoes to the oven dish.","O,O,O,U-FOOD,O,O,O,O,O"
"Add all three to the Greek yogurt","O,O,O,O,O,B-FOOD,L-FOOD"
"Add ammonium to the warmed milk and add to the butter, sugar, and egg mixture.","O,O,O,O,B-FOOD,L-FOOD,O,O,O,O,U-FOOD,O,U-FOOD,O,O,U-FOOD,O,O"
"Add and roast either diced or grated onion or crushed and sliced garlic until translucent.","O,O,O,O,O,O,O,U-FOOD,O,O,O,O,U-FOOD,O,O,O"
"Add and saute the seafood.","O,O,O,O,U-FOOD,O"
"Add and stir the rest of the ingredients, except eggs.","O,O,O,O,O,O,O,O,O,O,U-FOOD,O"
"Add another 500 ml of water diluted with tomato paste and wait until it is boiling.","O,O,O,O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O"
"Add any aromatic seasonings.","O,O,B-FOOD,L-FOOD,O"
"Add any fresh ingredients now.","O,O,O,O,O,O"
"Add any ingredients you want to add on top of the sauce (cheese last).","O,O,O,O,O,O,O,O,O,O,O,O,O,U-FOOD,O,O,O"
"Add a pinch of sugar and more soy sauce to taste","O,O,O,O,U-FOOD,O,O,B-FOOD,L-FOOD,O,O"
"Add a small amount of hot water until the liquid in the cooker is a bit more than the amount of gravy you want, then allow it to come to a boil","O,O,O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Add a spoonfull of salt and (optional) a small amount of MSG to the mortar and pestle.","O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,U-FOOD,O,O,O,O,O,O"
"Add a spoonful of peanut butter (if having peanut butter).","O,O,O,O,B-FOOD,L-FOOD,O,O,O,B-FOOD,L-FOOD,O,O"
"Add a tablespoon of oil and the chicken.","O,O,O,O,U-FOOD,O,O,U-FOOD,O"
"Add a thin layer of potatoes to the dish","O,O,O,O,O,U-FOOD,O,O,O"
"Add a very small amount of milk and stir (be conservative here, the sour cream will provide most of the softness of the mash)","O,O,O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,B-FOOD,L-FOOD,O,O,O,O,O,O,O,O,O,O"
"Add back in the meat and add in the stock and herbs.","O,O,O,O,O,O,O,O,O,O,O,U-FOOD,O"
"Add bacon","O,U-FOOD"
"Add bacon to hot pan.","O,U-FOOD,O,O,O,O"
"Add bay leaf and red pepper then give it a good stir.","O,B-FOOD,L-FOOD,O,B-FOOD,L-FOOD,O,O,O,O,O,O,O"
"Add bay leaves and chipotle peppers.","O,B-FOOD,L-FOOD,O,B-FOOD,L-FOOD,O"
"Add beans and gently stir.","O,U-FOOD,O,O,O,O"
"Add beans, tomato, broth and spices and boil for 6 minutes","O,U-FOOD,O,U-FOOD,O,O,O,O,O,O,O,O,O"
"Add beef bouillon cubes, diced beef, fish/oyster sauce, and honey/sugar, then simmer for a couple hours with the lid on.","O,B-FOOD,L-FOOD,O,O,O,U-FOOD,O,B-FOOD,I-FOOD,I-FOOD,L-FOOD,O,O,B-FOOD,I-FOOD,L-FOOD,O,O,O,O,O,O,O,O,O,O,O,O"
"Add beer.","O,U-FOOD,O"
"Add beetroots and let cook for 5 minutes.","O,U-FOOD,O,O,O,O,O,O,O"
"Add Black pepper 1 ml","O,B-FOOD,L-FOOD,O,O"
"Add bouillon, salt and pepper to meat.","O,U-FOOD,O,U-FOOD,O,U-FOOD,O,O,O"
"Add breadcrumbs to yet another large bowl or basin.","O,U-FOOD,O,O,O,O,O,O,O,O"
"Add broccoli and carrots.","O,U-FOOD,O,U-FOOD,O"
"Add broth and whisk until no lumps remain.","O,O,O,O,O,O,O,O,O"
"Add broth.","O,O,O"
"Add broth/stock, tomatoes, bell paper and purée with a stick blender.","O,O,O,O,O,U-FOOD,O,B-FOOD,L-FOOD,O,O,O,O,O,O,O"
"Add bullion and enough water to avoid burning (1 cup), place pot in oven (350F) to bake until veggies are soft.","O,U-FOOD,O,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,U-FOOD,O,O,O"
"Add burned black bread, a handful of raisins, a few slices of lemon, and coffee beans to the pot.","O,O,O,U-FOOD,O,O,O,O,U-FOOD,O,O,O,O,O,U-FOOD,O,O,B-FOOD,L-FOOD,O,O,O,O"
"Add butter generously while frying to ensure frying oil does not evaporate.","O,U-FOOD,O,O,O,O,O,O,U-FOOD,O,O,O,O"
"Add Butter or Margarine when needed.","O,U-FOOD,O,U-FOOD,O,O,O"
"Add butter.","O,U-FOOD,O"
"Add canned tomatoes, and crush with spatula.","O,O,U-FOOD,O,O,O,O,O,O"
"Add canned tomatoes and their juice.","O,O,U-FOOD,O,O,O,O"
"Add celery and peppers.","O,U-FOOD,O,U-FOOD,O"
"Add cheese.","O,U-FOOD,O"
"Add cheese to bottom of bun","O,U-FOOD,O,O,O,U-FOOD"
"Add chicken and pasta into a casserole dish.","O,U-FOOD,O,U-FOOD,O,O,O,O,O"
"Add chicken broth and rice, cover, and bring to a boil over high heat.","O,U-FOOD,O,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O,O"
"Add chicken broth until it coats the bottom of the pan.","O,U-FOOD,O,O,O,O,O,O,O,O,O,O"
"Add chicken, cheese and all the diced ingredients to tortillas.","O,U-FOOD,O,U-FOOD,O,O,O,O,O,O,U-FOOD,O"
"Add chicken, jalapeno and bay leaf.","O,U-FOOD,O,U-FOOD,O,B-FOOD,L-FOOD,O"
"Add chicken or beef broth and bring it to a medium temperature.","O,U-FOOD,O,U-FOOD,O,O,O,O,O,O,O,O,O"
"Add chicken to flour mixture, then toss to coat.","O,U-FOOD,O,U-FOOD,O,O,O,O,O,O,O"
"Add chickpeas and finely grated zest and juice from lime.","O,U-FOOD,O,O,O,O,O,O,O,U-FOOD,O"
"Add chickpeas and seasonings.","O,U-FOOD,O,O,O"
"Add chilies and chorizo","O,U-FOOD,O,U-FOOD"
"Add chives","O,U-FOOD"
"Add chopped garlic and chili pepper (optional) for some minutes.","O,O,U-FOOD,O,B-FOOD,L-FOOD,O,O,O,O,O,O,O"
"Add chopped onion, celery and bell pepper.","O,O,U-FOOD,O,U-FOOD,O,B-FOOD,L-FOOD,O"
"Add chopped onions to the pan with the chicken fat and sauce until the onions are golden.","O,O,U-FOOD,O,O,O,O,O,U-FOOD,O,O,O,O,O,U-FOOD,O,O,O"
"Add chopped parsley and pepper.","O,O,U-FOOD,O,U-FOOD,O"
"Add chopped Swiss chard and sauté together until chard is wilted, 2-3 minutes.","O,O,B-FOOD,L-FOOD,O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O"
"Add coconut milk, fish and pepper (whole) and boil for an additional 6 minutes.","O,B-FOOD,L-FOOD,O,U-FOOD,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O"
"Add coconut milk to the pan.","O,B-FOOD,L-FOOD,O,O,O,O"
"Add cooking cream and mix at medium heat until reduced a bit so it's more creamy.","O,B-FOOD,L-FOOD,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Add cooking oil to a wok and sear the ground pork until browned, chopping it up as it cooks","O,O,U-FOOD,O,O,O,O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O"
"Add cream, boil until the sauce is very creamy.","O,U-FOOD,O,O,O,O,O,O,O,O,O"
"Add crème fraîche/cream and cook until blended and brown, about 5 minutes.","O,B-FOOD,I-FOOD,I-FOOD,L-FOOD,O,O,O,O,O,O,O,O,O,O,O"
"Add Creole seasoning, lemon juice, Worcestershire Sauce, garlic and toss.","O,U-FOOD,O,O,U-FOOD,O,O,B-FOOD,L-FOOD,O,U-FOOD,O,O,O"
"Add croutons.","O,U-FOOD,O"
"Add crushed olives and chopped parsley","O,O,U-FOOD,O,O,U-FOOD"
"Add Cumin 1 ml","O,U-FOOD,O,O"
"Add cumin, mint, thyme, and the paprika/pepper flakes not reserved - and saute for 10 seconds to bloom the spices.","O,U-FOOD,O,U-FOOD,O,U-FOOD,O,O,O,B-FOOD,I-FOOD,I-FOOD,L-FOOD,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Add curcuma, chili powder, salt and black pepper to taste; mix thoroughly.","O,U-FOOD,O,B-FOOD,L-FOOD,O,U-FOOD,O,B-FOOD,L-FOOD,O,O,O,O,O,O"
"Add curry paste and ginger.","O,B-FOOD,L-FOOD,O,U-FOOD,O"
"Add diced garlic for aioli.","O,O,U-FOOD,O,O,O"
"Add diced ginger, smashed garlic cloves and chopped chili and sauté in the remaining lard.","O,O,U-FOOD,O,O,U-FOOD,O,O,O,U-FOOD,O,O,O,O,O,O,O"
"Add diced tomato and shredded mozzarella cheese and keep mixing.","O,O,U-FOOD,O,O,B-FOOD,L-FOOD,O,O,O,O"
"Add diced tomatoes, seasonings, and salt and pepper to taste.","O,O,U-FOOD,O,O,O,O,U-FOOD,O,U-FOOD,O,O,O"
"Add dough balls and cover.","O,U-FOOD,O,O,O,O"
"Add dried peas, bell pepper and grated cheese and let it cook for a minute.","O,O,U-FOOD,O,B-FOOD,L-FOOD,O,O,U-FOOD,O,O,O,O,O,O,O,O"
"Add drops of water until dough becomes cohesive and supple with no toughness or resistance.","O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O,O"
"Add each of the spices, taste the chili, and adjust flavoring accordingly.","O,O,O,O,O,O,O,O,U-FOOD,O,O,O,O,O,O"
"Add egg and protein powder and cook for a few more minutes","O,U-FOOD,O,B-FOOD,L-FOOD,O,O,O,O,O,O,O"
"Add egg and vanilla extract and mix with a whisk until well mixed.","O,U-FOOD,O,B-FOOD,L-FOOD,O,O,O,O,O,O,O,O,O"
"Add eggs and sugar into a bowl and whisk until the mixture turns pale.","O,U-FOOD,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O"
"Add eggs, grease, liquor, milk and mix it.","O,U-FOOD,O,U-FOOD,O,U-FOOD,O,U-FOOD,O,O,O,O"
"Add eggs one at a time and blend well between each.","O,U-FOOD,O,O,O,O,O,O,O,O,O,O"
"Add eggs to the meat and put a few into a medium bowl; mix both bowls' contents thoroughly.","O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Add egg yolks, sugar, sour cream, and a pinch of salt.","O,U-FOOD,O,O,U-FOOD,O,B-FOOD,L-FOOD,O,O,O,O,O,U-FOOD,O"
"Add enough of remaining flour to make a soft dough.","O,O,O,O,U-FOOD,O,O,O,O,O,O"
"Add enough water for a total of 400g or 1 3/4 cups (i.e.","O,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O,O"
"Add enough water to thin to a thick sauce.","O,O,U-FOOD,O,O,O,O,O,O,O"
"Add evaporated milk, butter, sugar, and olives.","O,O,U-FOOD,O,U-FOOD,O,U-FOOD,O,O,U-FOOD,O"
"Add fennel, onion, rosemary and mix until tender (4-6 min).","O,U-FOOD,O,U-FOOD,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O"
"Add finely chopped garlic, chili flakes, paprika, cumin, and oregano.","O,O,O,U-FOOD,O,B-FOOD,L-FOOD,O,U-FOOD,O,U-FOOD,O,O,U-FOOD,O"
"Add fish sauce before adding water and let the chicken boil for a few minutes and then add tomato sauce.","O,B-FOOD,L-FOOD,O,O,U-FOOD,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,B-FOOD,L-FOOD,O"
"Add flour and mix together gently to hydrate.","O,U-FOOD,O,O,O,O,O,O,O"
"Add flour, matcha powder and baking soda and mix with a whisk until you can hardly see the powder.","O,U-FOOD,O,B-FOOD,L-FOOD,O,B-FOOD,L-FOOD,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Add flour to a bowl or basin large enough to fit a breast, add pepper.","O,U-FOOD,O,O,O,O,O,O,O,O,O,O,U-FOOD,O,O,U-FOOD,O"
"Add flour to bowl in small amounts, beating/whisking after each addition.","O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Add freshly chopped parsley.","O,O,O,U-FOOD,O"
"Add frozen peas to rice and stir, they will heat up quickly.","O,O,U-FOOD,O,U-FOOD,O,O,O,O,O,O,O,O,O"
"Add garlic and bulghur to the boiling water.","O,U-FOOD,O,U-FOOD,O,O,O,U-FOOD,O"
"Add garlic and chilies and fry for 1 minute (don't burn them!).","O,U-FOOD,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Add garlic and cook for 30 seconds longer or until fragrant.","O,U-FOOD,O,O,O,O,O,O,O,O,O,O"
"Add garlic and cook for another 30 seconds.","O,U-FOOD,O,O,O,O,O,O,O"
"Add garlic and ginger and saute 5 more minutes.","O,U-FOOD,O,U-FOOD,O,O,O,O,O,O"
"Add garlic-ginger and sauté for a minute, then add garam masala.","O,B-FOOD,I-FOOD,L-FOOD,O,O,O,O,O,O,O,O,B-FOOD,L-FOOD,O"
"Add garlic.","O,U-FOOD,O"
"Add garlic, red pepper flakes, cook until fragrant (1 min).","O,U-FOOD,O,B-FOOD,I-FOOD,L-FOOD,O,O,O,O,O,O,O,O,O"
"Add garlic salt and onion powder.","O,B-FOOD,L-FOOD,O,B-FOOD,L-FOOD,O"
"Add garlic, sauté bit longer.","O,U-FOOD,O,O,O,O,O"
"Add garnishes, but it is not essential, due to how rich and filling the dish is.","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Add garnish if available, and serve.","O,O,O,O,O,O,O,O"
"Add garnish if desired.","O,O,O,O,O"
